"Man_x","Man_y","Shark_x","Shark_y"
0,0,3.14159,1.5
0.0267048,0.01,3.10159,1.495
0.0405583,0.02,3.06158,1.49
0.0813778,0.03,3.02139,1.485
-0.00291629,0.04,2.97972,1.48
-0.0496134,0.05,2.93885,1.475
-0.118152,0.06,2.89613,1.47
-0.212343,0.07,2.84927,1.465
-0.260068,0.08,2.8068,1.46
-0.298787,0.09,2.76469,1.455
-0.357887,0.1,2.71884,1.45
-0.392192,0.11,2.67633,1.445
-0.427965,0.12,2.63308,1.44
-0.455429,0.13,2.59079,1.435
-0.533791,0.14,2.53259,1.43
-0.608957,0.15,2.47345,1.425
-0.646538,0.16,2.42717,1.42
-0.646544,0.17,2.38717,1.415
-0.665154,0.18,2.3451,1.41
-0.71912,0.19,2.28859,1.405
-0.77826,0.2,2.22755,1.4
-0.813126,0.21,2.17839,1.395
-0.850248,0.22,2.12722,1.39
-0.879083,0.23,2.07954,1.385
-0.889656,0.24,2.03833,1.38
-0.902633,0.25,1.99636,1.375
-0.926834,0.26,1.94935,1.37
-0.948272,0.27,1.90335,1.365
-0.966692,0.28,1.85851,1.36
-0.980419,0.29,1.81556,1.355
-0.995783,0.3,1.77165,1.35
-1.00835,0.31,1.72881,1.345
-1.02273,0.32,1.6849,1.34
-1.03394,0.33,1.64233,1.335
-1.04377,0.34,1.60021,1.33
-1.05217,0.35,1.55857,1.325
-1.06105,0.36,1.51663,1.32
-1.06846,0.37,1.47519,1.315
-1.07653,0.38,1.4334,1.31
-1.08292,0.39,1.39221,1.305
-1.08839,0.4,1.35129,1.3
-1.0937,0.41,1.31037,1.295
-1.08948,0.42,1.26976,1.29
-1.09362,0.43,1.22915,1.285
-1.09721,0.44,1.18866,1.28
-1.10231,0.45,1.14765,1.275
-1.10561,0.46,1.1072,1.27
-1.11007,0.47,1.06635,1.265
-1.15562,0.48,0.97102,1.26
-1.15942,0.49,0.930347,1.255
-1.16317,0.5,0.889663,1.25
-1.16636,0.51,0.849147,1.245
-1.16949,0.52,0.808631,1.24
-1.16446,0.53,0.767263,1.235
-1.16664,0.54,0.726993,1.23
-1.16757,0.55,0.686942,1.225
-1.16603,0.56,0.646796,1.22
-1.16817,0.57,0.606505,1.215
-1.16986,0.58,0.566318,1.21
-1.17074,0.59,0.526265,1.205
-1.16066,0.6,0.47962,1.2
-1.16231,0.61,0.439421,1.195
-1.16411,0.62,0.399177,1.19
-1.16113,0.63,0.35849,1.185
-1.16287,0.64,0.318247,1.18
-1.18622,0.65,0.245923,1.175
-1.187,0.66,0.205872,1.17
-1.18845,0.67,0.165684,1.165
-1.19026,0.68,0.125389,1.16
-1.19178,0.69,0.0851719,1.155
-1.19319,0.7,0.0449816,1.15
-1.19423,0.71,0.00487402,1.145
-1.19558,0.72,-0.0353123,1.14
-1.19687,0.73,-0.0754875,1.135
-1.19808,0.74,-0.115644,1.13
-1.21404,0.75,-0.177805,1.125
-1.21506,0.76,-0.217922,1.12
-1.21644,0.77,-0.258144,1.115
-1.21704,0.78,-0.298188,1.11
-1.21562,0.79,-0.338437,1.105
-1.21087,0.8,-0.381198,1.1
-1.21212,0.81,-0.421401,1.095
-1.21045,0.82,-0.46177,1.09
-1.21109,0.83,-0.501825,1.085
-1.21206,0.84,-0.541957,1.08
-1.21316,0.85,-0.582129,1.075
-1.2103,0.86,-0.623308,1.07
-1.20717,0.87,-0.664746,1.065
-1.20827,0.88,-0.704931,1.06
-1.2011,0.89,-0.752316,1.055
-1.20073,0.9,-0.792337,1.05
-1.19908,0.91,-0.832777,1.045
-1.19692,0.92,-0.873556,1.04
-1.19616,0.93,-0.913653,1.035
-1.19543,0.94,-0.953748,1.03
-1.19611,0.95,-0.993832,1.025
-1.19685,0.96,-1.03393,1.02
-1.19383,0.97,-1.07559,1.015
-1.19452,0.98,-1.11568,1.01
-1.19523,0.99,-1.15578,1.005
-1.19588,1,-1.19586,1